state,state,period,combined-heat-and-pwr-comm,combined-heat-and-pwr-elect,combined-heat-and-pwr-indust,direct-use,elect-pwr-sector-gen-subtotal,electric-utilities,energy-only-providers,estimated-losses,facility-direct,full-service-providers,independent-power-producers,indust-and-comm-gen-subtotal,net-interstate-trade,net-trade-index,total-disposition,total-elect-indust,total-international-exports,total-international-imports,total-net-generation,total-supply,unaccounted
AK,AK,2022-01-01,339375,149377,114591,253661.0,6240162,6032387,0,324661,,6002080,58398,453966,0,1.0,6694128,6002080,0.0,0.0,6694128,6694128,113726
AK,AK,2021-01-01,352265,177115,110308,255217.0,6133245,5910717,0,280836,,5969339,45413,462573,0,1.0,6595818,5969339,0.0,0.0,6595818,6595818,90426
AK,AK,2020-01-01,319885,188212,117672,265880.0,5838884,5596841,0,329575,,5917577,53831,437557,0,1.0,6276441,5917577,0.0,0.0,6276441,6276441,-236591
AK,AK,2019-01-01,264992,186691,115743,243980.0,5690108,5447446,0,315518,,5818805,55971,380735,0,1.0,6070843,5818805,0.0,0.0,6070843,6070843,-307460
AK,AK,2018-01-01,328028,177819,110098,236992.0,5809233,5575087,0,308046,,5972467,56327,438126,0,1.0,6247989,5972467,0.0,630.0,6247359,6247989,-269516
AK,AK,2017-01-01,335453,180906,107854,232275.0,6054159,5822931,0,336498,,6185799,50322,443307,0,1.0,6498252,6185799,0.0,786.0,6497466,6498252,-256320
AK,AK,2016-01-01,321729,191982,111473,251325.0,5901831,5649381,0,319577,,6123202,60468,433202,0,1.0,6335249,6123202,0.0,215.0,6335034,6335249,-358855
AK,AK,2015-01-01,164763,198296,120889,256321.0,5999286,5746428,0,307256,,6159204,54562,285652,0,1.0,6284937,6159204,0.0,0.0,6284937,6284937,-437844
AK,AK,2014-01-01,171906,191062,117558,253513.0,5753366,5509991,0,321001,,6164812,52313,289464,0,1.0,6042830,6164812,0.0,0.0,6042830,6042830,-696497
AK,AK,2013-01-01,300144,187843,110723,260693.0,6085954,5851727,0,336726,,6268212,46384,410868,0,1.0,6497502,6268212,0.0,680.0,6496822,6497502,-368129
AK,AK,2012-01-01,277858,201405,87230,354337.0,6581331,6361802,0,347474,,6416411,18124,365088,0,1.0,6947691,6416411,0.0,1272.0,6946419,6947691,-170531
AK,AK,2011-01-01,275338,209150,112700,377445.0,6482994,6273844,0,390507,,6319540,0,388039,0,1.0,6872170,6319540,0.0,1137.0,6871033,6872170,-215323
AK,AK,2010-01-01,234386,204196,115944,342426.0,6409246,6205050,0,385928,,6247038,0,350330,0,1.0,6760633,6247038,0.0,1057.0,6759576,6760633,-214759
AK,AK,2009-01-01,216819,209379,109199,337332.0,6376141,6166762,0,399143,,6270171,0,326019,0,1.0,6703367,6270171,0.0,1208.0,6702159,6703367,-303279
AK,AK,2008-01-01,225098,177106,110483,328146.0,6439254,6262148,0,402966,0.0,6325944,0,335581,0,1.0,6776064,6325944,0.0,1230.0,6774834,6776064,-280991
AK,AK,2007-01-01,237621,210155,147405,266640.0,6436366,6146078,0,400427,0.0,6326610,80133,385025,0,1.0,6822693,6326610,0.0,1301.0,6821392,6822693,-170984
AK,AK,2006-01-01,230541,187376,187760,289065.0,6255896,6068520,0,400853,0.0,6182291,0,418301,0,1.0,6675436,6182291,0.0,1239.0,6674197,6675436,92003
AK,AK,2005-01-01,245324,173942,211245,329542.0,6120090,5946148,0,395171,0.0,5912571,0,456569,0,1.0,6577962,5912571,0.0,1303.0,6576659,6577962,269890
AK,AK,2004-01-01,269105,182145,209047,1079118.0,6048565,5866420,0,424157,0.0,5788484,0,478152,0,1.0,6527897,5788484,0.0,1180.0,6526717,6527897,314177
AK,AK,2003-01-01,229859,162478,272934,1077994.0,5835940,5673462,0,408531,0.0,5563682,0,502793,0,1.0,6339891,5563682,0.0,1159.0,6338732,6339891,366601
AK,AK,2002-01-01,156311,243668,895356,1064477.0,5715658,5471990,0,409964,0.0,5465489,0,1051667,0,1.0,6768265,5465489,0.0,940.0,6767325,6768265,891747
AK,AK,2001-01-01,153358,237307,936914,1041829.0,5653498,5416191,0,426528,0.0,5454080,0,1090272,0,1.0,6745008,5454080,0.0,1238.0,6743770,6745008,863358
AK,AK,2000-01-01,146670,223962,848205,1069864.0,5161649,4937687,0,413027,0.0,5309970,0,994875,0,1.0,6157772,5309970,0.0,1247.0,6156525,6157772,5738365
AK,AK,1999-01-01,152551,226975,813467,1050726.0,4836290,4609315,0,415217,0.0,5292615,0,966017,0,1.0,5803719,5292615,0.0,1412.0,5802307,5803719,5382159
AK,AK,1998-01-01,150828,211373,876375,1104129.0,4801643,4590270,0,362264,0.0,5094584,0,1027202,0,1.0,5829837,5094584,0.0,992.0,5828845,5829837,5461375
AK,AK,1997-01-01,225346,0,821497,1045859.0,5108003,5108003,0,364961,0.0,4840529,0,1046843,0,1.0,6156475,4840529,0.0,1629.0,6154846,6156475,5785627
AK,AK,1996-01-01,208927,0,937696,1145441.0,4982268,4982268,0,370998,0.0,4779562,0,1146624,0,1.0,6130077,4779562,0.0,1185.0,6128892,6130077,5753154
AK,AK,1995-01-01,229840,0,949354,1163688.0,4846922,4846922,0,353526,0.0,4631830,0,1179194,0,1.0,6027218,4631830,0.0,1102.0,6026116,6027218,5667897
AK,AK,1994-01-01,219421,0,984978,1186222.0,4762116,4762116,0,344384,0.0,4533379,0,1204399,0,1.0,5967824,4533379,0.0,1309.0,5966515,5967824,5617721
AK,AK,1993-01-01,211513,0,928717,1124748.0,4581047,4581047,0,350118,0.0,4374627,0,1140231,0,1.0,5722600,4374627,0.0,1322.0,5721278,5722600,5366983
AK,AK,1992-01-01,216258,0,915112,1130361.0,4167054,4167054,0,343009,0.0,4338934,0,1131370,0,1.0,5298954,4338934,0.0,530.0,5298424,5298954,4950476
AK,AK,1991-01-01,204537,0,898860,1102388.0,4286431,4286431,0,326774,0.0,4255713,0,1103397,0,1.0,5390491,4255713,0.0,663.0,5389828,5390491,5058359
AK,AK,1990-01-01,265533,0,840950,1106473.0,4493024,4493024,0,322955,0.0,4253840,0,1106482,0,1.0,5600415,4253840,0.0,909.0,5599506,5600415,5272100
AL,AL,2022-01-01,0,5032840,4511092,4896466.0,140277801,103494925,0,4707447,18578.0,87008967,31750036,4511092,48314688,1.5,144788893,87027545,0.0,0.0,144788893,144788893,-157254
AL,AL,2021-01-01,0,4031284,4956093,5344337.0,137777237,106804340,0,4026481,17209.0,85567957,26941613,4956093,47230739,1.49,142733330,85585166,0.0,0.0,142733330,142733330,546608
AL,AL,2020-01-01,0,2848326,4788458,5110676.0,132758918,102357230,0,4644657,17280.0,83378325,27553362,4788458,44521720,1.48,137547377,83395605,0.0,0.0,137547377,137547377,-125281
AL,AL,2019-01-01,0,3157136,4902592,5159502.0,137776841,102180494,0,4776859,18167.0,88076945,32439211,4902592,44428027,1.45,142679433,88095112,0.0,0.0,142679433,142679433,219933
AL,AL,2018-01-01,0,4864301,4622077,5037015.0,140435917,102665414,0,4656454,17976.0,90262480,32906202,4622077,44519671,1.44,145057994,90280456,0.0,0.0,145057994,145057994,564398
AL,AL,2017-01-01,0,4245625,4437372,4928261.0,135526878,101709381,0,4691415,876.0,86240854,29571872,4437372,43501825,1.45,139964250,86241730,0.0,0.0,139964250,139964250,601020
AL,AL,2016-01-01,0,4506703,4255021,4586964.0,138130077,97991203,0,4604565,657.0,88225141,35632171,4255021,43873694,1.45,142385098,88225141,0.0,0.0,142385098,142385098,1094734
AL,AL,2015-01-01,0,5332204,4216916,4551804.0,148260511,107868476,0,4432118,438.0,88845543,35059831,4216916,53263250,1.54,152477427,88845543,0.0,0.0,152477427,152477427,1384712
AL,AL,2014-01-01,0,4125833,3837837,5000379.0,145502610,112340555,0,4712003,219.0,90493727,29036222,3837837,47964280,1.47,149340447,90493727,0.0,0.0,149340447,149340447,1170058
AL,AL,2013-01-01,0,4014623,4147537,4608062.0,146425387,115027021,0,4719383,0.0,87852107,27383743,4147537,52068099,1.53,150572924,87852107,0.0,0.0,150572924,150572924,1325273
AL,AL,2012-01-01,0,4393369,4247306,5286916.0,148631382,108425247,0,4667126,0.0,86182548,35812766,4247306,55268345,1.57,152878688,86182548,0.0,0.0,152878688,152878688,1473752
AL,AL,2011-01-01,0,3773959,4306357,5157007.0,152032853,118834736,0,5499347,458868.0,88536501,29424158,4306357,56123696,1.56,156339210,88995369,0.0,0.0,156339210,156339210,563791
AL,AL,2010-01-01,0,4243149,4217849,5007573.0,147932663,122766490,0,5613291,0.0,90862645,20923024,4217849,49869705,1.49,152150512,90862645,0.0,0.0,152150512,152150512,797298
AL,AL,2009-01-01,0,4605863,4565712,4827750.0,138689844,118781555,0,5273674,417287.0,82427315,15302426,4565712,49562730,1.53,143255556,82844602,0.0,0.0,143255556,143255556,746799
AL,AL,2008-01-01,0,2569428,4562425,4726425.0,141307470,128054895,0,5714398,425598.0,89281681,10683147,4562425,44550279,1.44,145869895,89707279,0.0,0.0,145869895,145869895,1171515
AL,AL,2007-01-01,0,5705071,4646377,4620025.0,139179894,124273167,0,5812051,0.0,91828464,9201656,4646377,40102203,1.39,143826271,91828464,0.0,0.0,143826271,143826271,1463528
AL,AL,2006-01-01,0,4683179,4743686,6209972.0,136151755,124365180,0,5879439,0.0,90677695,7103396,4743686,39995621,1.4,140895441,90677695,0.0,0.0,140895441,140895441,4336476
AL,AL,2005-01-01,0,2173642,4650046,3540326.0,133298535,126303893,0,5961856,0.0,89201620,4821000,4650046,38526487,1.39,137948581,89201620,0.0,0.0,137948581,137948581,4255078
AL,AL,2004-01-01,0,1445678,5227446,6487857.0,132127325,124554606,0,6365524,0.0,86870519,6127041,5227446,39822338,1.41,137354771,86870519,0.0,0.0,137354771,137354771,4289902
AL,AL,2003-01-01,0,1310750,5266043,6481099.0,132221179,126845720,0,6156524,0.0,83844220,4064709,5266043,44129506,1.47,137487222,83844220,0.0,0.0,137487222,137487222,3350491
