period,location,plantStateDescription,plant,plantName,rank,coalRankDescription,ash-content,heat-content,price,quantity,sulfur-content,ash-content-units,heat-content-units,price-units,quantity-units,sulfur-content-units
2022,PAB,Pennsylvania (Bituminous),56068,Elm Road Generating Station,BIT,Bituminous,7.73,13011,65.85,547351,2.43,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WVN,West Virginia (Northern),8827,IMT Transfer,BIT,Bituminous,8.66,11634,67.9,1422382,2.97,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WY,Wyoming,6641,Independence Steam Electric Station,TOT,All,4.74,8921,43.63,3029643,0.21,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WVN,West Virginia (Northern),8226,Cheswick Power Plant,BIT,Bituminous,9.62,12438,57.07666666666667,114628,3.03,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,OH,Ohio,8102,"Gavin Power, LLC",BIT,Bituminous,9.5,12530,70.52333333333334,4596047,3.92,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WVS,West Virginia (Southern),8042,Belews Creek,TOT,All,9.31,12692,83.97,1380463,1.72,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,TX,Texas,7902,Pirkey,TOT,All,16.34,6623,55.65,2363543,0.71,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,UT,Utah,6481,Intermountain Power Project,BIT,Bituminous,10.44,11489,54.6,2540088,0.62,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,ND,North Dakota,6469,Antelope Valley,LIG,Lignite,10.87,6556,17.6,4798511,0.79,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,IL,Illinois,6264,Mountaineer,BIT,Bituminous,9.2,12453,67.41,2092044,3.27,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WY,Wyoming,8223,Springerville,SUB,Subbituminous,9.45,9036,49.32,4479061,0.53,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,PAB,Pennsylvania (Bituminous),56671,Longview Power Plant,TOT,All,9.61,12749,92.72999999999999,1771299,2.61,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,KYE,Kentucky (East),7213,Clover,BIT,Bituminous,9.44,12630,136.14,349977,1.03,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,KYE,Kentucky (East),7210,Cope,TOT,All,11.17,12364,112.39,216225,1.05,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,MD,Maryland,10678,AES Warrior Run Cogeneration Facility,BIT,Bituminous,21.79,11123,100.356,659437,1.86,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WVN,West Virginia (Northern),56671,Longview Power Plant,BIT,Bituminous,9.61,12749,88.322,1771299,2.61,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,PAB,Pennsylvania (Bituminous),56671,Longview Power Plant,BIT,Bituminous,9.61,12749,76.288,1771299,2.61,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,TX,Texas,7030,Major Oak Power,LIG,Lignite,16.18,6847,64.25399999999999,2111742,0.99,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,IL,Illinois,6823,D B Wilson,BIT,Bituminous,9.36,11722,52.22,1784874,3.04,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
